doc_id,word_count,chars,path
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT,5279,32634,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT_cleaned.txt
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT,5874,35321,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT_cleaned.txt
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,2951,18337,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT_cleaned.txt
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT,2976,17801,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT_cleaned.txt
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT,6366,40365,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT_cleaned.txt
"Antares Pharma, Inc. - Manufacturing Agreement",16510,106146,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\Antares Pharma, Inc. - Manufacturing Agreement_cleaned.txt"
Apollo Endosurgery - Manufacturing and Supply Agreement,7245,47981,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\Apollo Endosurgery - Manufacturing and Supply Agreement_cleaned.txt
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement,2372,15289,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement_cleaned.txt
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement,2695,16579,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement_cleaned.txt
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement,2900,18032,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement_cleaned.txt
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT",11651,69376,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT_cleaned.txt"
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement,9684,56530,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement_cleaned.txt
"Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",43439,270524,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT_cleaned.txt"
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement,6023,38217,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement_cleaned.txt
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.",3614,23145,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC._cleaned.txt"
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement,7229,44782,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement_cleaned.txt
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT,10274,64910,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT_cleaned.txt
ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT,374,2280,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT_cleaned.txt
"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009",23633,143884,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009_cleaned.txt"
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT,2674,17380,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT_cleaned.txt
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement,36870,228048,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement_cleaned.txt
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement,11621,73684,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement_cleaned.txt
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT,5763,35959,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT_cleaned.txt
AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT,7103,44183,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT_cleaned.txt
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1,34548,224996,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1_cleaned.txt
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2,2630,16441,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2_cleaned.txt
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.",17016,111418,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC._cleaned.txt"
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement,319,1941,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement_cleaned.txt
BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT,7365,44962,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT_cleaned.txt
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement",28997,187955,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement_cleaned.txt"
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT",5959,37725,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT_cleaned.txt"
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1,6637,42298,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1_cleaned.txt
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2,353,2264,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2_cleaned.txt
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3,1264,7951,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3_cleaned.txt
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4,266,1730,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4_cleaned.txt
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",33239,208184,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT_cleaned.txt"
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement,4572,28843,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement_cleaned.txt
BEYONDCOMCORP_08_03_2000-EX-10.2-CO-HOSTING AGREEMENT,8314,50081,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BEYONDCOMCORP_08_03_2000-EX-10.2-CO-HOSTING AGREEMENT_cleaned.txt
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT,9457,56719,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT_cleaned.txt
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1),5895,37723,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1)_cleaned.txt
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment,982,6259,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment_cleaned.txt
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT,12415,78716,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT_cleaned.txt
BIOFRONTERAAG_04_29_2019-EX-4.17-SUPPLY AGREEMENT,9928,63608,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BIOFRONTERAAG_04_29_2019-EX-4.17-SUPPLY AGREEMENT_cleaned.txt
BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT,5858,36697,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT_cleaned.txt
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement,3788,23745,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement_cleaned.txt
BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT,2753,17017,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT_cleaned.txt
BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT,205,1277,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT_cleaned.txt
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT,8157,52087,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT_cleaned.txt
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement,16802,104070,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement_cleaned.txt
BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement,5317,34767,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement_cleaned.txt
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",21267,130380,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT_cleaned.txt"
"BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT",21128,133100,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT_cleaned.txt"
BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT,4798,30460,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT_cleaned.txt
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT,6540,39252,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT_cleaned.txt
BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT,1767,11221,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT_cleaned.txt
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,28268,160872,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT_cleaned.txt
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",3533,21374,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT_cleaned.txt"
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement,2444,15571,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement_cleaned.txt
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,23142,145573,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT_cleaned.txt
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement",1466,8712,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement_cleaned.txt"
"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT",8708,55848,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT_cleaned.txt"
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1,25916,163844,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1_cleaned.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2,399,2721,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2_cleaned.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3,263,1661,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3_cleaned.txt
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4,773,5166,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4_cleaned.txt
CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT,4977,31701,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT_cleaned.txt
CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement,4806,30036,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement_cleaned.txt
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,2378,14388,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT_cleaned.txt
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,9892,61868,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement_cleaned.txt
"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement",41876,287243,"C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement_cleaned.txt"
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT,1810,11357,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT_cleaned.txt
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,18665,135851,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT_cleaned.txt
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT,3960,24319,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT_cleaned.txt
CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement,6550,38608,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement_cleaned.txt
CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement,4469,27583,C:\Users\KIIT\Desktop\CLAUSEAI\DATA\TRANSFORMED\CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement_cleaned.txt
